"Observation station","Year","Month","Day","Time [Local time]","Average temperature [°C]","Average relative humidity [%]"
"Helsinki Kumpula","2021","1","1","00:00","-0.3","99"
"Helsinki Kumpula","2021","1","1","01:00","-0.3","99"
"Helsinki Kumpula","2021","1","1","02:00","-0.2","99"
"Helsinki Kumpula","2021","1","1","03:00","0.2","100"
"Helsinki Kumpula","2021","1","1","04:00","0.8","100"
"Helsinki Kumpula","2021","1","1","05:00","0.7","99"
"Helsinki Kumpula","2021","1","1","06:00","1.2","99"
"Helsinki Kumpula","2021","1","1","07:00","2.2","99"
"Helsinki Kumpula","2021","1","1","08:00","2.7","99"
"Helsinki Kumpula","2021","1","1","09:00","2.8","99"
"Helsinki Kumpula","2021","1","1","10:00","2.7","97"
"Helsinki Kumpula","2021","1","1","11:00","2.9","95"
"Helsinki Kumpula","2021","1","1","12:00","3.2","93"
"Helsinki Kumpula","2021","1","1","13:00","3.2","89"
"Helsinki Kumpula","2021","1","1","14:00","3","89"
"Helsinki Kumpula","2021","1","1","15:00","2.8","89"
"Helsinki Kumpula","2021","1","1","16:00","2.5","88"
"Helsinki Kumpula","2021","1","1","17:00","2.1","88"
"Helsinki Kumpula","2021","1","1","18:00","2","88"
"Helsinki Kumpula","2021","1","1","19:00","1.4","90"
"Helsinki Kumpula","2021","1","1","20:00","1","93"
"Helsinki Kumpula","2021","1","1","21:00","0.9","95"
"Helsinki Kumpula","2021","1","1","22:00","1.2","94"
"Helsinki Kumpula","2021","1","1","23:00","1.3","94"
"Helsinki Kumpula","2021","1","2","00:00","0.9","96"
"Helsinki Kumpula","2021","1","2","01:00","0.7","97"
"Helsinki Kumpula","2021","1","2","02:00","0.6","98"
"Helsinki Kumpula","2021","1","2","03:00","0.6","97"
"Helsinki Kumpula","2021","1","2","04:00","0.8","93"
"Helsinki Kumpula","2021","1","2","05:00","0.6","91"
"Helsinki Kumpula","2021","1","2","06:00","0.6","90"
"Helsinki Kumpula","2021","1","2","07:00","0.7","87"
"Helsinki Kumpula","2021","1","2","08:00","0.6","88"
"Helsinki Kumpula","2021","1","2","09:00","0.5","89"
"Helsinki Kumpula","2021","1","2","10:00","0.4","90"
"Helsinki Kumpula","2021","1","2","11:00","0.3","85"
"Helsinki Kumpula","2021","1","2","12:00","0.3","83"
"Helsinki Kumpula","2021","1","2","13:00","0.1","89"
"Helsinki Kumpula","2021","1","2","14:00","-0.3","91"
"Helsinki Kumpula","2021","1","2","15:00","-0.7","91"
"Helsinki Kumpula","2021","1","2","16:00","-1","94"
"Helsinki Kumpula","2021","1","2","17:00","-1.2","95"
"Helsinki Kumpula","2021","1","2","18:00","-1.3","95"
"Helsinki Kumpula","2021","1","2","19:00","-1.4","95"
"Helsinki Kumpula","2021","1","2","20:00","-1.5","96"
"Helsinki Kumpula","2021","1","2","21:00","-1.5","96"
"Helsinki Kumpula","2021","1","2","22:00","-1.6","96"
"Helsinki Kumpula","2021","1","2","23:00","-1.7","96"
"Helsinki Kumpula","2021","1","3","00:00","-1.9","95"
"Helsinki Kumpula","2021","1","3","01:00","-2","94"
"Helsinki Kumpula","2021","1","3","02:00","-2.3","94"
"Helsinki Kumpula","2021","1","3","03:00","-2.4","94"
"Helsinki Kumpula","2021","1","3","04:00","-2.6","94"
"Helsinki Kumpula","2021","1","3","05:00","-2.7","94"
"Helsinki Kumpula","2021","1","3","06:00","-2.9","93"
"Helsinki Kumpula","2021","1","3","07:00","-2.9","93"
"Helsinki Kumpula","2021","1","3","08:00","-2.9","93"
"Helsinki Kumpula","2021","1","3","09:00","-3","94"
"Helsinki Kumpula","2021","1","3","10:00","-3","93"
"Helsinki Kumpula","2021","1","3","11:00","-3","93"
"Helsinki Kumpula","2021","1","3","12:00","-2.8","93"
"Helsinki Kumpula","2021","1","3","13:00","-2.7","92"
"Helsinki Kumpula","2021","1","3","14:00","-2.7","91"
"Helsinki Kumpula","2021","1","3","15:00","-2.8","91"
"Helsinki Kumpula","2021","1","3","16:00","-2.8","91"
"Helsinki Kumpula","2021","1","3","17:00","-2.9","91"
"Helsinki Kumpula","2021","1","3","18:00","-3","90"
"Helsinki Kumpula","2021","1","3","19:00","-3.2","90"
"Helsinki Kumpula","2021","1","3","20:00","-3.5","91"
"Helsinki Kumpula","2021","1","3","21:00","-3.1","90"
"Helsinki Kumpula","2021","1","3","22:00","-2.9","90"
"Helsinki Kumpula","2021","1","3","23:00","-2.7","90"
"Helsinki Kumpula","2021","1","4","00:00","-2.6","90"
"Helsinki Kumpula","2021","1","4","01:00","-2.5","91"
"Helsinki Kumpula","2021","1","4","02:00","-2.3","92"
"Helsinki Kumpula","2021","1","4","03:00","-2.1","92"
"Helsinki Kumpula","2021","1","4","04:00","-2","92"
"Helsinki Kumpula","2021","1","4","05:00","-1.8","93"
"Helsinki Kumpula","2021","1","4","06:00","-1.7","92"
"Helsinki Kumpula","2021","1","4","07:00","-1.5","91"
