date,Year,Month,Day,Time [UTC],Average temperature [°C],Maximum temperature [°C],Minimum temperature [°C],Average relative humidity [%],Wind speed [m/s],Maximum wind speed [m/s],hour,minute
2021-01-01 00:00:00,2021,1,1,00:00,-0.2,0.1,-0.4,99,2,2.5,0,0
2021-01-01 01:00:00,2021,1,1,01:00,0.2,0.4,0.0,100,1.3,1.8,1,0
2021-01-01 02:00:00,2021,1,1,02:00,0.8,1.1,0.4,100,1.6,2,2,0
2021-01-01 03:00:00,2021,1,1,03:00,0.7,0.9,0.6,99,1.4,2.5,3,0
2021-01-01 04:00:00,2021,1,1,04:00,1.2,1.5,0.8,99,2.2,2.7,4,0
2021-01-01 05:00:00,2021,1,1,05:00,2.2,2.5,1.5,99,2.1,2.5,5,0
2021-01-01 06:00:00,2021,1,1,06:00,2.7,2.8,2.5,99,2.8,3,6,0
2021-01-01 07:00:00,2021,1,1,07:00,2.8,2.9,2.8,99,3.2,3.9,7,0
2021-01-01 08:00:00,2021,1,1,08:00,2.7,2.8,2.5,97,3,3.8,8,0
2021-01-01 09:00:00,2021,1,1,09:00,2.9,3.1,2.6,95,2.5,3.2,9,0
2021-01-01 10:00:00,2021,1,1,10:00,3.2,3.3,3.1,93,2.5,3,10,0
2021-01-01 11:00:00,2021,1,1,11:00,3.2,3.2,3.1,89,3.5,4.7,11,0
2021-01-01 12:00:00,2021,1,1,12:00,3.0,3.2,2.9,89,2.9,4.1,12,0
2021-01-01 13:00:00,2021,1,1,13:00,2.8,2.9,2.6,89,2.6,3.5,13,0
2021-01-01 14:00:00,2021,1,1,14:00,2.5,2.6,2.2,88,3,4.1,14,0
2021-01-01 15:00:00,2021,1,1,15:00,2.1,2.2,2.0,88,3.8,4.4,15,0
2021-01-01 16:00:00,2021,1,1,16:00,2.0,2.1,1.7,88,2.9,3.9,16,0
2021-01-01 17:00:00,2021,1,1,17:00,1.4,1.8,1.1,90,1.7,3.1,17,0
2021-01-01 18:00:00,2021,1,1,18:00,1.0,1.5,0.7,93,2.4,3,18,0
2021-01-01 19:00:00,2021,1,1,19:00,0.9,1.2,0.6,95,2,2.4,19,0
2021-01-01 20:00:00,2021,1,1,20:00,1.2,1.3,1.1,94,1.8,2.6,20,0
2021-01-01 21:00:00,2021,1,1,21:00,1.3,1.4,1.2,94,2.6,3,21,0
2021-01-01 22:00:00,2021,1,1,22:00,0.9,1.2,0.8,96,2.8,3.1,22,0
2021-01-01 23:00:00,2021,1,1,23:00,0.7,0.8,0.5,97,2.6,3.2,23,0
2021-01-02 00:00:00,2021,1,2,00:00,0.6,0.6,0.5,98,3.9,4.6,0,0
2021-01-02 01:00:00,2021,1,2,01:00,0.6,0.6,0.6,97,4,4.7,1,0
2021-01-02 02:00:00,2021,1,2,02:00,0.8,0.8,0.6,93,4.2,5.1,2,0
2021-01-02 03:00:00,2021,1,2,03:00,0.6,0.8,0.5,91,3.3,3.8,3,0
2021-01-02 04:00:00,2021,1,2,04:00,0.6,0.7,0.5,90,3.4,3.9,4,0
2021-01-02 05:00:00,2021,1,2,05:00,0.7,0.7,0.6,87,4.7,5.6,5,0
2021-01-02 06:00:00,2021,1,2,06:00,0.6,0.7,0.5,88,3.8,5,6,0
2021-01-02 07:00:00,2021,1,2,07:00,0.5,0.6,0.5,89,4.1,4.9,7,0
2021-01-02 08:00:00,2021,1,2,08:00,0.4,0.5,0.4,90,4,4.6,8,0
2021-01-02 09:00:00,2021,1,2,09:00,0.3,0.4,0.3,85,3.9,5.2,9,0
2021-01-02 10:00:00,2021,1,2,10:00,0.3,0.3,0.3,83,3.8,4.5,10,0
2021-01-02 11:00:00,2021,1,2,11:00,0.1,0.3,-0.1,89,4.1,4.6,11,0
2021-01-02 12:00:00,2021,1,2,12:00,-0.3,-0.1,-0.5,91,4.2,5.3,12,0
2021-01-02 13:00:00,2021,1,2,13:00,-0.7,-0.5,-0.8,91,3.8,4.8,13,0
2021-01-02 14:00:00,2021,1,2,14:00,-1.0,-0.8,-1.1,94,3.9,4.6,14,0
2021-01-02 15:00:00,2021,1,2,15:00,-1.2,-1.1,-1.2,95,4.2,4.6,15,0
2021-01-02 16:00:00,2021,1,2,16:00,-1.3,-1.2,-1.4,95,4,4.9,16,0
2021-01-02 17:00:00,2021,1,2,17:00,-1.4,-1.3,-1.5,95,3.9,4.4,17,0
2021-01-02 18:00:00,2021,1,2,18:00,-1.5,-1.4,-1.5,96,4,4.6,18,0
2021-01-02 19:00:00,2021,1,2,19:00,-1.5,-1.5,-1.6,96,4.2,5,19,0
2021-01-02 20:00:00,2021,1,2,20:00,-1.6,-1.6,-1.7,96,4.7,4.8,20,0
2021-01-02 21:00:00,2021,1,2,21:00,-1.7,-1.6,-1.8,96,4.7,5.5,21,0
2021-01-02 22:00:00,2021,1,2,22:00,-1.9,-1.8,-2.0,95,4.8,5.1,22,0
2021-01-02 23:00:00,2021,1,2,23:00,-2.0,-2.0,-2.2,94,4.6,5.2,23,0
2021-01-03 00:00:00,2021,1,3,00:00,-2.3,-2.2,-2.3,94,4.7,5.3,0,0
2021-01-03 01:00:00,2021,1,3,01:00,-2.4,-2.3,-2.5,94,4.3,5.1,1,0
2021-01-03 02:00:00,2021,1,3,02:00,-2.6,-2.5,-2.7,94,4.7,5.1,2,0
2021-01-03 03:00:00,2021,1,3,03:00,-2.7,-2.6,-2.8,94,4.6,5.3,3,0
2021-01-03 04:00:00,2021,1,3,04:00,-2.9,-2.8,-2.9,93,4.5,4.9,4,0
2021-01-03 05:00:00,2021,1,3,05:00,-2.9,-2.8,-2.9,93,4.3,4.8,5,0
2021-01-03 06:00:00,2021,1,3,06:00,-2.9,-2.9,-3.0,93,4.3,4.8,6,0
2021-01-03 07:00:00,2021,1,3,07:00,-3.0,-3.0,-3.0,94,3.9,4.7,7,0
2021-01-03 08:00:00,2021,1,3,08:00,-3.0,-2.9,-3.1,93,4,4.5,8,0
2021-01-03 09:00:00,2021,1,3,09:00,-3.0,-2.9,-3.1,93,3.7,4.1,9,0
2021-01-03 10:00:00,2021,1,3,10:00,-2.8,-2.8,-2.9,93,3.2,4,10,0
2021-01-03 11:00:00,2021,1,3,11:00,-2.7,-2.7,-2.8,92,3.4,3.8,11,0
2021-01-03 12:00:00,2021,1,3,12:00,-2.7,-2.7,-2.7,91,3.5,3.9,12,0
2021-01-03 13:00:00,2021,1,3,13:00,-2.8,-2.7,-2.8,91,3.1,3.6,13,0
2021-01-03 14:00:00,2021,1,3,14:00,-2.8,-2.8,-2.9,91,2.8,3.3,14,0
2021-01-03 15:00:00,2021,1,3,15:00,-2.9,-2.9,-3.0,91,3.1,3.5,15,0
2021-01-03 16:00:00,2021,1,3,16:00,-3.0,-3.0,-3.1,90,3.2,3.7,16,0
2021-01-03 17:00:00,2021,1,3,17:00,-3.2,-3.0,-3.6,90,2.9,3.3,17,0
2021-01-03 18:00:00,2021,1,3,18:00,-3.5,-3.2,-3.8,91,2.7,3,18,0
2021-01-03 19:00:00,2021,1,3,19:00,-3.1,-3.0,-3.2,90,2.6,3,19,0
2021-01-03 20:00:00,2021,1,3,20:00,-2.9,-2.8,-3.0,90,2.6,3.2,20,0
2021-01-03 21:00:00,2021,1,3,21:00,-2.7,-2.6,-2.8,90,2.7,3.2,21,0
2021-01-03 22:00:00,2021,1,3,22:00,-2.6,-2.6,-2.7,90,2.7,3.2,22,0
2021-01-03 23:00:00,2021,1,3,23:00,-2.5,-2.4,-2.6,91,2.7,3.4,23,0
2021-01-04 00:00:00,2021,1,4,00:00,-2.3,-2.2,-2.4,92,3,3.5,0,0
2021-01-04 01:00:00,2021,1,4,01:00,-2.1,-2.0,-2.2,92,2.7,3.1,1,0
2021-01-04 02:00:00,2021,1,4,02:00,-2.0,-1.9,-2.1,92,2.6,3.2,2,0
2021-01-04 03:00:00,2021,1,4,03:00,-1.8,-1.7,-1.9,93,3.2,3.7,3,0
2021-01-04 04:00:00,2021,1,4,04:00,-1.7,-1.6,-1.7,92,3.8,4.3,4,0
2021-01-04 05:00:00,2021,1,4,05:00,-1.5,-1.4,-1.6,91,3.4,3.9,5,0
2021-01-04 06:00:00,2021,1,4,06:00,-1.5,-1.4,-1.5,90,3.3,3.9,6,0
2021-01-04 07:00:00,2021,1,4,07:00,-1.4,-1.4,-1.5,90,2.8,3.6,7,0
2021-01-04 08:00:00,2021,1,4,08:00,-1.4,-1.3,-1.4,90,3.8,4.3,8,0
2021-01-04 09:00:00,2021,1,4,09:00,-1.3,-1.2,-1.3,90,3.9,4.3,9,0
2021-01-04 10:00:00,2021,1,4,10:00,-1.2,-1.2,-1.3,91,3.6,4.4,10,0
2021-01-04 11:00:00,2021,1,4,11:00,-1.2,-1.1,-1.2,91,3.4,4.5,11,0
2021-01-04 12:00:00,2021,1,4,12:00,-1.1,-1.1,-1.2,91,3,3.8,12,0
2021-01-04 13:00:00,2021,1,4,13:00,-1.1,-1.1,-1.2,91,3.4,4.3,13,0
2021-01-04 14:00:00,2021,1,4,14:00,-1.2,-1.2,-1.3,92,3.2,3.6,14,0
2021-01-04 15:00:00,2021,1,4,15:00,-1.3,-1.3,-1.4,92,3.5,4,15,0
2021-01-04 16:00:00,2021,1,4,16:00,-1.4,-1.4,-1.5,92,3.5,4,16,0
2021-01-04 17:00:00,2021,1,4,17:00,-1.4,-1.4,-1.5,92,3.1,3.4,17,0
2021-01-04 18:00:00,2021,1,4,18:00,-1.3,-1.3,-1.4,93,3.7,4.1,18,0
2021-01-04 19:00:00,2021,1,4,19:00,-1.3,-1.2,-1.3,92,3.9,4.2,19,0
2021-01-04 20:00:00,2021,1,4,20:00,-1.2,-1.2,-1.3,93,3.7,4.3,20,0
2021-01-04 21:00:00,2021,1,4,21:00,-1.2,-1.2,-1.3,93,3.8,4.3,21,0
2021-01-04 22:00:00,2021,1,4,22:00,-1.4,-1.2,-1.5,94,3.9,4.4,22,0
2021-01-04 23:00:00,2021,1,4,23:00,-1.5,-1.5,-1.6,94,3.7,4.4,23,0
2021-01-05 00:00:00,2021,1,5,00:00,-1.7,-1.6,-1.7,93,3.6,4.5,0,0
2021-01-05 01:00:00,2021,1,5,01:00,-1.8,-1.7,-1.9,91,3.8,4.4,1,0
2021-01-05 02:00:00,2021,1,5,02:00,-1.9,-1.9,-2.0,91,3.9,4.3,2,0
2021-01-05 03:00:00,2021,1,5,03:00,-2.1,-2.0,-2.1,91,3.9,4.4,3,0
2021-01-05 04:00:00,2021,1,5,04:00,-2.2,-2.1,-2.3,92,3.8,4.2,4,0
2021-01-05 05:00:00,2021,1,5,05:00,-2.4,-2.3,-2.5,92,3.7,4.3,5,0
2021-01-05 06:00:00,2021,1,5,06:00,-2.6,-2.5,-2.7,91,4.5,5.6,6,0
2021-01-05 07:00:00,2021,1,5,07:00,-2.8,-2.7,-2.9,92,3.5,4.7,7,0
2021-01-05 08:00:00,2021,1,5,08:00,-3.0,-2.9,-3.0,93,3.4,4.2,8,0
2021-01-05 09:00:00,2021,1,5,09:00,-3.1,-3.0,-3.1,94,3.3,4,9,0
2021-01-05 10:00:00,2021,1,5,10:00,-3.2,-3.1,-3.3,94,3.9,4.7,10,0
2021-01-05 11:00:00,2021,1,5,11:00,-3.2,-3.1,-3.3,94,3.1,4.7,11,0
2021-01-05 12:00:00,2021,1,5,12:00,-3.2,-3.1,-3.3,94,3.5,4.1,12,0
2021-01-05 13:00:00,2021,1,5,13:00,-3.3,-3.2,-3.3,94,2.9,3.8,13,0
2021-01-05 14:00:00,2021,1,5,14:00,-3.3,-3.2,-3.3,94,3.1,3.7,14,0
2021-01-05 15:00:00,2021,1,5,15:00,-3.3,-3.3,-3.4,93,3.2,3.7,15,0
2021-01-05 16:00:00,2021,1,5,16:00,-3.5,-3.4,-3.6,92,3.7,4,16,0
2021-01-05 17:00:00,2021,1,5,17:00,-3.6,-3.5,-3.6,92,3.1,4.5,17,0
2021-01-05 18:00:00,2021,1,5,18:00,-3.6,-3.5,-3.7,92,2.3,2.8,18,0
2021-01-05 19:00:00,2021,1,5,19:00,-3.8,-3.7,-3.8,92,3,3.8,19,0
2021-01-05 20:00:00,2021,1,5,20:00,-3.9,-3.8,-4.0,92,2.4,3.2,20,0
2021-01-05 21:00:00,2021,1,5,21:00,-4.0,-3.9,-4.0,91,2.6,3.1,21,0
2021-01-05 22:00:00,2021,1,5,22:00,-4.0,-3.9,-4.0,91,2.2,2.7,22,0
2021-01-05 23:00:00,2021,1,5,23:00,-3.9,-3.9,-4.0,91,2.2,2.5,23,0
2021-01-06 00:00:00,2021,1,6,00:00,-3.9,-3.8,-3.9,91,2,2.5,0,0
2021-01-06 01:00:00,2021,1,6,01:00,-3.8,-3.7,-3.8,90,3.4,4.6,1,0
2021-01-06 02:00:00,2021,1,6,02:00,-3.8,-3.7,-3.8,90,4.1,4.8,2,0
2021-01-06 03:00:00,2021,1,6,03:00,-3.7,-3.6,-3.7,90,4.2,5.3,3,0
2021-01-06 04:00:00,2021,1,6,04:00,-3.7,-3.6,-3.7,91,3.1,3.7,4,0
2021-01-06 05:00:00,2021,1,6,05:00,-3.6,-3.6,-3.7,91,3.6,4,5,0
2021-01-06 06:00:00,2021,1,6,06:00,-3.6,-3.5,-3.6,91,3.5,4.1,6,0
2021-01-06 07:00:00,2021,1,6,07:00,-3.5,-3.5,-3.6,90,3.7,4.4,7,0
2021-01-06 08:00:00,2021,1,6,08:00,-3.6,-3.5,-3.6,90,3,3.3,8,0
2021-01-06 09:00:00,2021,1,6,09:00,-3.4,-3.3,-3.5,90,3.2,4,9,0
2021-01-06 10:00:00,2021,1,6,10:00,-3.3,-3.2,-3.4,91,3.8,4.2,10,0
2021-01-06 11:00:00,2021,1,6,11:00,-3.2,-3.1,-3.2,91,4.5,5,11,0
2021-01-06 12:00:00,2021,1,6,12:00,-3.0,-3.0,-3.1,92,4.6,5,12,0
2021-01-06 13:00:00,2021,1,6,13:00,-2.9,-2.8,-3.0,90,4.9,5.5,13,0
2021-01-06 14:00:00,2021,1,6,14:00,-2.9,-2.8,-3.1,88,5.5,6.2,14,0
2021-01-06 15:00:00,2021,1,6,15:00,-3.2,-3.1,-3.3,86,5.4,6.7,15,0
2021-01-06 16:00:00,2021,1,6,16:00,-3.2,-3.1,-3.3,86,4.8,5.1,16,0
2021-01-06 17:00:00,2021,1,6,17:00,-3.1,-3.1,-3.2,88,4.9,6.1,17,0
2021-01-06 18:00:00,2021,1,6,18:00,-3.0,-2.9,-3.1,90,4.4,4.8,18,0
2021-01-06 19:00:00,2021,1,6,19:00,-2.7,-2.6,-2.8,91,5.1,5.8,19,0
2021-01-06 20:00:00,2021,1,6,20:00,-2.4,-2.2,-2.6,91,4.8,5.3,20,0
2021-01-06 21:00:00,2021,1,6,21:00,-2.1,-2.0,-2.2,91,4.7,5.4,21,0
2021-01-06 22:00:00,2021,1,6,22:00,-1.8,-1.7,-2.0,91,5,5.9,22,0
2021-01-06 23:00:00,2021,1,6,23:00,-1.6,-1.5,-1.7,91,5.9,6.8,23,0
2021-01-07 00:00:00,2021,1,7,00:00,-1.4,-1.4,-1.5,91,6.1,6.7,0,0
2021-01-07 01:00:00,2021,1,7,01:00,-1.3,-1.2,-1.4,91,5.9,6.3,1,0
2021-01-07 02:00:00,2021,1,7,02:00,-1.2,-1.1,-1.2,92,5.5,6.3,2,0
2021-01-07 03:00:00,2021,1,7,03:00,-1.1,-1.0,-1.1,92,5.3,6,3,0
2021-01-07 04:00:00,2021,1,7,04:00,-1.0,-0.9,-1.1,92,5.3,5.8,4,0
2021-01-07 05:00:00,2021,1,7,05:00,-0.9,-0.8,-1.1,91,5.3,6,5,0
2021-01-07 06:00:00,2021,1,7,06:00,-1.0,-1.0,-1.1,90,5.8,6.8,6,0
2021-01-07 07:00:00,2021,1,7,07:00,-1.0,-1.0,-1.1,90,5.2,5.7,7,0
2021-01-07 08:00:00,2021,1,7,08:00,-1.3,-1.1,-1.4,92,4.9,5.5,8,0
2021-01-07 09:00:00,2021,1,7,09:00,-1.5,-1.3,-1.6,94,5.1,-,9,0
2021-01-07 10:00:00,2021,1,7,10:00,-1.1,-0.6,-1.6,95,5.4,-,10,0
2021-01-07 11:00:00,2021,1,7,11:00,-0.4,-0.1,-0.8,90,6.2,8,11,0
2021-01-07 12:00:00,2021,1,7,12:00,-0.1,0.0,-0.2,83,7.3,8.8,12,0
2021-01-07 13:00:00,2021,1,7,13:00,-0.2,-0.1,-0.3,84,6.4,7.1,13,0
2021-01-07 14:00:00,2021,1,7,14:00,-0.3,-0.1,-1.3,82,5.8,7.3,14,0
2021-01-07 15:00:00,2021,1,7,15:00,-1.5,-1.3,-1.7,91,4.8,5.8,15,0
2021-01-07 16:00:00,2021,1,7,16:00,-1.9,-1.7,-2.1,91,4.9,5.6,16,0
2021-01-07 17:00:00,2021,1,7,17:00,-2.1,-2.1,-2.2,90,4.9,5.3,17,0
2021-01-07 18:00:00,2021,1,7,18:00,-2.2,-2.1,-2.2,91,4.7,5.3,18,0
2021-01-07 19:00:00,2021,1,7,19:00,-2.1,-2.1,-2.2,91,5,5.7,19,0
2021-01-07 20:00:00,2021,1,7,20:00,-2.2,-2.2,-2.2,90,5.6,6.1,20,0
2021-01-07 21:00:00,2021,1,7,21:00,-2.3,-2.2,-2.3,90,5.6,6.4,21,0
2021-01-07 22:00:00,2021,1,7,22:00,-2.3,-2.3,-2.3,90,5,5.7,22,0
2021-01-07 23:00:00,2021,1,7,23:00,-2.3,-2.3,-2.3,90,5,5.4,23,0
2021-01-08 00:00:00,2021,1,8,00:00,-2.3,-2.3,-2.3,90,5.3,6,0,0
2021-01-08 01:00:00,2021,1,8,01:00,-2.4,-2.3,-2.4,90,5.2,5.9,1,0
2021-01-08 02:00:00,2021,1,8,02:00,-2.5,-2.4,-2.5,90,5.3,6.2,2,0
2021-01-08 03:00:00,2021,1,8,03:00,-2.5,-2.4,-2.5,90,5.1,5.8,3,0
2021-01-08 04:00:00,2021,1,8,04:00,-2.5,-2.4,-2.5,90,5.2,5.8,4,0
2021-01-08 05:00:00,2021,1,8,05:00,-2.5,-2.5,-2.5,90,5.2,5.8,5,0
2021-01-08 06:00:00,2021,1,8,06:00,-2.5,-2.5,-2.6,90,5.2,5.7,6,0
2021-01-08 07:00:00,2021,1,8,07:00,-2.5,-2.5,-2.6,90,5.1,5.3,7,0
2021-01-08 08:00:00,2021,1,8,08:00,-2.5,-2.5,-2.6,89,5.2,5.5,8,0
2021-01-08 09:00:00,2021,1,8,09:00,-2.6,-2.5,-2.7,88,5.2,5.8,9,0
2021-01-08 10:00:00,2021,1,8,10:00,-2.9,-2.7,-3.0,89,4.6,5.3,10,0
2021-01-08 11:00:00,2021,1,8,11:00,-3.0,-3.0,-3.1,89,4.7,5.2,11,0
2021-01-08 12:00:00,2021,1,8,12:00,-3.0,-2.9,-3.1,89,4.5,5.3,12,0
2021-01-08 13:00:00,2021,1,8,13:00,-3.1,-2.9,-3.3,89,3.9,4.4,13,0
2021-01-08 14:00:00,2021,1,8,14:00,-3.1,-3.1,-3.2,89,3.9,4.2,14,0
2021-01-08 15:00:00,2021,1,8,15:00,-3.3,-3.2,-3.3,87,4.3,5.2,15,0
2021-01-08 16:00:00,2021,1,8,16:00,-3.3,-3.2,-3.3,87,4.7,5.1,16,0
2021-01-08 17:00:00,2021,1,8,17:00,-3.2,-3.2,-3.3,87,4.3,4.7,17,0
2021-01-08 18:00:00,2021,1,8,18:00,-3.3,-3.2,-3.3,87,3.9,4.7,18,0
2021-01-08 19:00:00,2021,1,8,19:00,-3.4,-3.3,-3.4,88,3.6,4,19,0
2021-01-08 20:00:00,2021,1,8,20:00,-3.4,-3.4,-3.5,88,3.7,4.2,20,0
2021-01-08 21:00:00,2021,1,8,21:00,-3.4,-3.4,-3.5,88,3.6,4.3,21,0
2021-01-08 22:00:00,2021,1,8,22:00,-3.6,-3.4,-3.9,86,4.1,4.6,22,0
2021-01-08 23:00:00,2021,1,8,23:00,-4.3,-3.9,-4.8,86,4.1,4.7,23,0
2021-01-09 00:00:00,2021,1,9,00:00,-4.9,-4.7,-5.0,87,4.3,5.4,0,0
2021-01-09 01:00:00,2021,1,9,01:00,-4.8,-4.7,-4.9,87,4.7,5,1,0
2021-01-09 02:00:00,2021,1,9,02:00,-4.9,-4.8,-5.0,87,4.3,5,2,0
2021-01-09 03:00:00,2021,1,9,03:00,-5.4,-5.0,-5.7,89,3.7,4.4,3,0
2021-01-09 04:00:00,2021,1,9,04:00,-5.3,-5.0,-5.6,89,3.1,3.5,4,0
2021-01-09 05:00:00,2021,1,9,05:00,-4.9,-4.8,-5.0,87,2.7,3.2,5,0
2021-01-09 06:00:00,2021,1,9,06:00,-4.8,-4.8,-4.8,86,3.5,4.1,6,0
2021-01-09 07:00:00,2021,1,9,07:00,-5.4,-4.8,-6.0,87,4,4.7,7,0
2021-01-09 08:00:00,2021,1,9,08:00,-6.4,-6.0,-6.8,89,2.9,3.5,8,0
2021-01-09 09:00:00,2021,1,9,09:00,-6.7,-6.5,-6.7,88,3,3.4,9,0
2021-01-09 10:00:00,2021,1,9,10:00,-6.4,-6.2,-6.6,83,3.7,4.2,10,0
2021-01-09 11:00:00,2021,1,9,11:00,-6.3,-6.2,-6.5,78,3.6,4.1,11,0
2021-01-09 12:00:00,2021,1,9,12:00,-6.5,-6.4,-6.6,75,3,3.7,12,0
2021-01-09 13:00:00,2021,1,9,13:00,-6.7,-6.5,-6.9,76,2.9,3.6,13,0
2021-01-09 14:00:00,2021,1,9,14:00,-7.1,-6.9,-7.4,73,3.4,4.1,14,0
2021-01-09 15:00:00,2021,1,9,15:00,-7.6,-7.4,-7.8,76,3,-,15,0
2021-01-09 16:00:00,2021,1,9,16:00,-7.8,-7.7,-7.8,76,3,3.6,16,0
2021-01-09 17:00:00,2021,1,9,17:00,-8.0,-7.8,-8.1,79,3.2,3.8,17,0
2021-01-09 18:00:00,2021,1,9,18:00,-8.6,-8.1,-9.2,82,2.8,3.5,18,0
2021-01-09 19:00:00,2021,1,9,19:00,-9.8,-9.2,-10.2,86,2.5,2.7,19,0
2021-01-09 20:00:00,2021,1,9,20:00,-10.5,-10.1,-11.1,87,2.4,2.8,20,0
2021-01-09 21:00:00,2021,1,9,21:00,-11.8,-11.1,-12.5,90,2.2,2.5,21,0
2021-01-09 22:00:00,2021,1,9,22:00,-12.3,-12.1,-12.5,91,2.4,2.8,22,0
2021-01-09 23:00:00,2021,1,9,23:00,-12.4,-12.1,-12.7,90,2.4,2.7,23,0
2021-01-10 00:00:00,2021,1,10,00:00,-12.8,-12.5,-13.2,90,2.4,2.9,0,0
2021-01-10 01:00:00,2021,1,10,01:00,-12.6,-11.8,-13.3,90,2.2,2.5,1,0
2021-01-10 02:00:00,2021,1,10,02:00,-11.1,-10.6,-11.8,90,1.4,1.8,2,0
2021-01-10 03:00:00,2021,1,10,03:00,-10.5,-10.4,-10.6,88,1.1,1.5,3,0
2021-01-10 04:00:00,2021,1,10,04:00,-10.3,-9.9,-10.5,88,1.3,1.5,4,0
2021-01-10 05:00:00,2021,1,10,05:00,-9.5,-9.1,-9.9,89,1.1,1.8,5,0
2021-01-10 06:00:00,2021,1,10,06:00,-8.9,-8.5,-9.1,90,2,2.3,6,0
2021-01-10 07:00:00,2021,1,10,07:00,-7.9,-6.9,-8.5,91,3.2,4.2,7,0
2021-01-10 08:00:00,2021,1,10,08:00,-5.6,-3.5,-6.9,92,4,4.9,8,0
2021-01-10 09:00:00,2021,1,10,09:00,-3.0,-2.8,-3.4,85,4.6,5.4,9,0
2021-01-10 10:00:00,2021,1,10,10:00,-2.6,-2.4,-2.8,81,5.1,5.7,10,0
2021-01-10 11:00:00,2021,1,10,11:00,-2.2,-2.0,-2.4,85,5,5.6,11,0
2021-01-10 12:00:00,2021,1,10,12:00,-1.9,-1.8,-2.0,89,5,5.8,12,0
2021-01-10 13:00:00,2021,1,10,13:00,-1.8,-1.8,-1.9,91,4.9,5.9,13,0
2021-01-10 14:00:00,2021,1,10,14:00,-1.9,-1.8,-1.9,92,5.1,6,14,0
2021-01-10 15:00:00,2021,1,10,15:00,-1.9,-1.8,-1.9,94,4.9,5.7,15,0
2021-01-10 16:00:00,2021,1,10,16:00,-1.8,-1.7,-1.9,95,5.3,6.5,16,0
2021-01-10 17:00:00,2021,1,10,17:00,-1.6,-1.2,-1.8,96,5.3,6.1,17,0
2021-01-10 18:00:00,2021,1,10,18:00,-1.1,-0.8,-1.2,96,5.5,6.3,18,0
2021-01-10 19:00:00,2021,1,10,19:00,-0.7,-0.6,-0.8,96,5.5,6.2,19,0
2021-01-10 20:00:00,2021,1,10,20:00,-0.4,-0.3,-0.6,94,5.8,6.5,20,0
2021-01-10 21:00:00,2021,1,10,21:00,-0.2,0.0,-0.3,95,5.7,6.4,21,0
2021-01-10 22:00:00,2021,1,10,22:00,0.2,0.3,0.0,91,6.4,7.8,22,0
2021-01-10 23:00:00,2021,1,10,23:00,0.2,0.3,0.1,89,6.3,6.8,23,0
2021-01-11 00:00:00,2021,1,11,00:00,0.2,0.3,-0.1,92,6.8,8.3,0,0
2021-01-11 01:00:00,2021,1,11,01:00,-0.2,-0.1,-0.3,97,7.5,8.5,1,0
2021-01-11 02:00:00,2021,1,11,02:00,-0.4,-0.3,-0.5,99,7.6,8.9,2,0
2021-01-11 03:00:00,2021,1,11,03:00,-0.3,-0.2,-0.5,99,6.9,8,3,0
2021-01-11 04:00:00,2021,1,11,04:00,-0.2,-0.2,-0.3,99,8.1,8.9,4,0
2021-01-11 05:00:00,2021,1,11,05:00,-0.3,-0.2,-0.3,99,8.1,9.3,5,0
2021-01-11 06:00:00,2021,1,11,06:00,0.0,0.1,-0.2,99,7.7,8.4,6,0
2021-01-11 07:00:00,2021,1,11,07:00,0.0,0.1,-0.1,98,7.3,8.5,7,0
2021-01-11 08:00:00,2021,1,11,08:00,0.0,0.1,0.0,97,6.8,7.8,8,0
2021-01-11 09:00:00,2021,1,11,09:00,0.0,0.1,0.0,97,6.5,7.3,9,0
2021-01-11 10:00:00,2021,1,11,10:00,0.0,0.1,-0.1,96,5.7,6.8,10,0
2021-01-11 11:00:00,2021,1,11,11:00,-0.2,-0.1,-0.2,96,5.6,6.8,11,0
2021-01-11 12:00:00,2021,1,11,12:00,-0.2,-0.2,-0.3,96,4.5,5.3,12,0
2021-01-11 13:00:00,2021,1,11,13:00,-0.4,-0.3,-0.5,96,4.4,5.3,13,0
2021-01-11 14:00:00,2021,1,11,14:00,-0.4,-0.4,-0.4,96,3.9,4.5,14,0
2021-01-11 15:00:00,2021,1,11,15:00,-0.4,-0.2,-0.4,96,3.8,4.2,15,0
2021-01-11 16:00:00,2021,1,11,16:00,-0.2,-0.2,-0.2,95,3.9,4.5,16,0
