"Observation station","Year","Month","Day","Time [UTC]","Average temperature [°C]","Maximum temperature [°C]","Minimum temperature [°C]","Average relative humidity [%]","Wind speed [m/s]","Maximum wind speed [m/s]"
"Helsinki Kumpula","2021","1","1","00:00","-0.2","0.1","-0.4","99","2","2.5"
"Helsinki Kumpula","2021","1","1","01:00","0.2","0.4","0","100","1.3","1.8"
"Helsinki Kumpula","2021","1","1","02:00","0.8","1.1","0.4","100","1.6","2"
"Helsinki Kumpula","2021","1","1","03:00","0.7","0.9","0.6","99","1.4","2.5"
"Helsinki Kumpula","2021","1","1","04:00","1.2","1.5","0.8","99","2.2","2.7"
"Helsinki Kumpula","2021","1","1","05:00","2.2","2.5","1.5","99","2.1","2.5"
"Helsinki Kumpula","2021","1","1","06:00","2.7","2.8","2.5","99","2.8","3"
"Helsinki Kumpula","2021","1","1","07:00","2.8","2.9","2.8","99","3.2","3.9"
"Helsinki Kumpula","2021","1","1","08:00","2.7","2.8","2.5","97","3","3.8"
"Helsinki Kumpula","2021","1","1","09:00","2.9","3.1","2.6","95","2.5","3.2"
"Helsinki Kumpula","2021","1","1","10:00","3.2","3.3","3.1","93","2.5","3"
"Helsinki Kumpula","2021","1","1","11:00","3.2","3.2","3.1","89","3.5","4.7"
"Helsinki Kumpula","2021","1","1","12:00","3","3.2","2.9","89","2.9","4.1"
"Helsinki Kumpula","2021","1","1","13:00","2.8","2.9","2.6","89","2.6","3.5"
"Helsinki Kumpula","2021","1","1","14:00","2.5","2.6","2.2","88","3","4.1"
"Helsinki Kumpula","2021","1","1","15:00","2.1","2.2","2","88","3.8","4.4"
"Helsinki Kumpula","2021","1","1","16:00","2","2.1","1.7","88","2.9","3.9"
"Helsinki Kumpula","2021","1","1","17:00","1.4","1.8","1.1","90","1.7","3.1"
"Helsinki Kumpula","2021","1","1","18:00","1","1.5","0.7","93","2.4","3"
"Helsinki Kumpula","2021","1","1","19:00","0.9","1.2","0.6","95","2","2.4"
"Helsinki Kumpula","2021","1","1","20:00","1.2","1.3","1.1","94","1.8","2.6"
"Helsinki Kumpula","2021","1","1","21:00","1.3","1.4","1.2","94","2.6","3"
"Helsinki Kumpula","2021","1","1","22:00","0.9","1.2","0.8","96","2.8","3.1"
"Helsinki Kumpula","2021","1","1","23:00","0.7","0.8","0.5","97","2.6","3.2"
"Helsinki Kumpula","2021","1","2","00:00","0.6","0.6","0.5","98","3.9","4.6"
"Helsinki Kumpula","2021","1","2","01:00","0.6","0.6","0.6","97","4","4.7"
"Helsinki Kumpula","2021","1","2","02:00","0.8","0.8","0.6","93","4.2","5.1"
"Helsinki Kumpula","2021","1","2","03:00","0.6","0.8","0.5","91","3.3","3.8"
"Helsinki Kumpula","2021","1","2","04:00","0.6","0.7","0.5","90","3.4","3.9"
"Helsinki Kumpula","2021","1","2","05:00","0.7","0.7","0.6","87","4.7","5.6"
"Helsinki Kumpula","2021","1","2","06:00","0.6","0.7","0.5","88","3.8","5"
"Helsinki Kumpula","2021","1","2","07:00","0.5","0.6","0.5","89","4.1","4.9"
"Helsinki Kumpula","2021","1","2","08:00","0.4","0.5","0.4","90","4","4.6"
"Helsinki Kumpula","2021","1","2","09:00","0.3","0.4","0.3","85","3.9","5.2"
"Helsinki Kumpula","2021","1","2","10:00","0.3","0.3","0.3","83","3.8","4.5"
"Helsinki Kumpula","2021","1","2","11:00","0.1","0.3","-0.1","89","4.1","4.6"
"Helsinki Kumpula","2021","1","2","12:00","-0.3","-0.1","-0.5","91","4.2","5.3"
"Helsinki Kumpula","2021","1","2","13:00","-0.7","-0.5","-0.8","91","3.8","4.8"
"Helsinki Kumpula","2021","1","2","14:00","-1","-0.8","-1.1","94","3.9","4.6"
"Helsinki Kumpula","2021","1","2","15:00","-1.2","-1.1","-1.2","95","4.2","4.6"
"Helsinki Kumpula","2021","1","2","16:00","-1.3","-1.2","-1.4","95","4","4.9"
"Helsinki Kumpula","2021","1","2","17:00","-1.4","-1.3","-1.5","95","3.9","4.4"
"Helsinki Kumpula","2021","1","2","18:00","-1.5","-1.4","-1.5","96","4","4.6"
"Helsinki Kumpula","2021","1","2","19:00","-1.5","-1.5","-1.6","96","4.2","5"
"Helsinki Kumpula","2021","1","2","20:00","-1.6","-1.6","-1.7","96","4.7","4.8"
"Helsinki Kumpula","2021","1","2","21:00","-1.7","-1.6","-1.8","96","4.7","5.5"
"Helsinki Kumpula","2021","1","2","22:00","-1.9","-1.8","-2","95","4.8","5.1"
"Helsinki Kumpula","2021","1","2","23:00","-2","-2","-2.2","94","4.6","5.2"
"Helsinki Kumpula","2021","1","3","00:00","-2.3","-2.2","-2.3","94","4.7","5.3"
"Helsinki Kumpula","2021","1","3","01:00","-2.4","-2.3","-2.5","94","4.3","5.1"
"Helsinki Kumpula","2021","1","3","02:00","-2.6","-2.5","-2.7","94","4.7","5.1"
"Helsinki Kumpula","2021","1","3","03:00","-2.7","-2.6","-2.8","94","4.6","5.3"
"Helsinki Kumpula","2021","1","3","04:00","-2.9","-2.8","-2.9","93","4.5","4.9"
"Helsinki Kumpula","2021","1","3","05:00","-2.9","-2.8","-2.9","93","4.3","4.8"
"Helsinki Kumpula","2021","1","3","06:00","-2.9","-2.9","-3","93","4.3","4.8"
"Helsinki Kumpula","2021","1","3","07:00","-3","-3","-3","94","3.9","4.7"
"Helsinki Kumpula","2021","1","3","08:00","-3","-2.9","-3.1","93","4","4.5"
"Helsinki Kumpula","2021","1","3","09:00","-3","-2.9","-3.1","93","3.7","4.1"
"Helsinki Kumpula","2021","1","3","10:00","-2.8","-2.8","-2.9","93","3.2","4"
"Helsinki Kumpula","2021","1","3","11:00","-2.7","-2.7","-2.8","92","3.4","3.8"
"Helsinki Kumpula","2021","1","3","12:00","-2.7","-2.7","-2.7","91","3.5","3.9"
"Helsinki Kumpula","2021","1","3","13:00","-2.8","-2.7","-2.8","91","3.1","3.6"
"Helsinki Kumpula","2021","1","3","14:00","-2.8","-2.8","-2.9","91","2.8","3.3"
"Helsinki Kumpula","2021","1","3","15:00","-2.9","-2.9","-3","91","3.1","3.5"
"Helsinki Kumpula","2021","1","3","16:00","-3","-3","-3.1","90","3.2","3.7"
"Helsinki Kumpula","2021","1","3","17:00","-3.2","-3","-3.6","90","2.9","3.3"
"Helsinki Kumpula","2021","1","3","18:00","-3.5","-3.2","-3.8","91","2.7","3"
"Helsinki Kumpula","2021","1","3","19:00","-3.1","-3","-3.2","90","2.6","3"
