"Observation station","Year","Month","Day","Time [UTC]","Average temperature [°C]","Maximum temperature [°C]","Minimum temperature [°C]","Average relative humidity [%]","Wind speed [m/s]"
"Helsinki Kumpula","2021","10","1","00:00","9.2","9.3","9.1","80","4.7"
"Helsinki Kumpula","2021","10","1","01:00","9","9.1","8.8","82","5.1"
"Helsinki Kumpula","2021","10","1","02:00","9","9","8.8","83","5"
"Helsinki Kumpula","2021","10","1","03:00","8.9","8.9","8.8","84","4.5"
"Helsinki Kumpula","2021","10","1","04:00","8.6","8.9","8.3","90","4.8"
"Helsinki Kumpula","2021","10","1","05:00","8.2","8.3","8.1","96","4.3"
"Helsinki Kumpula","2021","10","1","06:00","8.3","8.4","8.1","97","4.1"
"Helsinki Kumpula","2021","10","1","07:00","8.5","8.7","8.4","97","3.9"
"Helsinki Kumpula","2021","10","1","08:00","8.8","9","8.6","97","3.2"
"Helsinki Kumpula","2021","10","1","09:00","9.2","9.3","9","96","3.7"
"Helsinki Kumpula","2021","10","1","10:00","9.6","9.9","9.3","96","3.8"
"Helsinki Kumpula","2021","10","1","11:00","10.3","10.8","9.9","95","3.5"
"Helsinki Kumpula","2021","10","1","12:00","10.7","11","10.6","92","3.5"
"Helsinki Kumpula","2021","10","1","13:00","10.7","10.8","10.6","92","3.9"
"Helsinki Kumpula","2021","10","1","14:00","10.5","10.7","10.3","92","5"
"Helsinki Kumpula","2021","10","1","15:00","10.3","10.3","10.2","92","4.5"
"Helsinki Kumpula","2021","10","1","16:00","10.3","10.4","10.2","90","5"
"Helsinki Kumpula","2021","10","1","17:00","10.3","10.4","10.2","89","4.9"
"Helsinki Kumpula","2021","10","1","18:00","10.4","10.5","10.4","88","5.2"
"Helsinki Kumpula","2021","10","1","19:00","10.2","10.4","9.8","89","4.1"
"Helsinki Kumpula","2021","10","1","20:00","10.1","10.2","9.7","89","4.3"
"Helsinki Kumpula","2021","10","1","21:00","10.2","10.2","10.1","87","4.4"
"Helsinki Kumpula","2021","10","1","22:00","10.2","10.2","10.1","87","4.1"
"Helsinki Kumpula","2021","10","1","23:00","10.1","10.2","10.1","87","4.3"
"Helsinki Kumpula","2021","10","2","00:00","9.9","10.1","9.8","88","4.4"
"Helsinki Kumpula","2021","10","2","01:00","9.8","9.8","9.7","89","4.1"
"Helsinki Kumpula","2021","10","2","02:00","10","10.2","9.8","88","3.8"
"Helsinki Kumpula","2021","10","2","03:00","10.1","10.1","10","81","3.9"
"Helsinki Kumpula","2021","10","2","04:00","10","10","9.8","81","4.1"
"Helsinki Kumpula","2021","10","2","05:00","9.7","9.9","9.6","83","4.8"
"Helsinki Kumpula","2021","10","2","06:00","9.5","9.6","9.4","84","4.4"
"Helsinki Kumpula","2021","10","2","07:00","9.9","10.5","9.5","87","3.7"
"Helsinki Kumpula","2021","10","2","08:00","10.5","10.9","10.3","86","5"
"Helsinki Kumpula","2021","10","2","09:00","11.4","11.9","11","82","5.6"
"Helsinki Kumpula","2021","10","2","10:00","11.4","11.7","11.2","81","5.2"
"Helsinki Kumpula","2021","10","2","11:00","11.7","12.1","11.3","78","5.8"
"Helsinki Kumpula","2021","10","2","12:00","11.6","11.8","11.5","77","5.9"
"Helsinki Kumpula","2021","10","2","13:00","12.3","12.8","11.7","75","5"
"Helsinki Kumpula","2021","10","2","14:00","12.7","12.9","12.2","73","4.5"
"Helsinki Kumpula","2021","10","2","15:00","12.1","12.4","11.7","78","4.4"
"Helsinki Kumpula","2021","10","2","16:00","11.1","11.7","10.6","85","3.7"
"Helsinki Kumpula","2021","10","2","17:00","10.6","11","10.4","87","4"
"Helsinki Kumpula","2021","10","2","18:00","11.6","12","10.9","78","4.9"
"Helsinki Kumpula","2021","10","2","19:00","11.4","11.7","11.1","80","6"
"Helsinki Kumpula","2021","10","2","20:00","11.1","11.3","10.9","80","5.5"
"Helsinki Kumpula","2021","10","2","21:00","10.8","11","10.7","78","5"
"Helsinki Kumpula","2021","10","2","22:00","10.5","10.8","10.1","79","4.3"
"Helsinki Kumpula","2021","10","2","23:00","10.3","10.6","9.8","78","4.7"
"Helsinki Kumpula","2021","10","3","00:00","10","10.4","9.7","81","4.8"
"Helsinki Kumpula","2021","10","3","01:00","9.6","9.8","9.4","81","5.3"
"Helsinki Kumpula","2021","10","3","02:00","9.6","9.8","9.4","81","5.3"
"Helsinki Kumpula","2021","10","3","03:00","9.6","9.7","9.4","81","5.3"
"Helsinki Kumpula","2021","10","3","04:00","9.2","9.4","9","83","5.4"
"Helsinki Kumpula","2021","10","3","05:00","8.9","9","8.8","84","5.7"
"Helsinki Kumpula","2021","10","3","06:00","9.3","9.7","8.9","83","7.1"
"Helsinki Kumpula","2021","10","3","07:00","10.3","10.7","9.7","80","7.1"
"Helsinki Kumpula","2021","10","3","08:00","10.9","11.4","10.7","78","7.4"
"Helsinki Kumpula","2021","10","3","09:00","11.5","11.7","11.2","77","6.8"
"Helsinki Kumpula","2021","10","3","10:00","11.8","12","11.4","77","7.5"
"Helsinki Kumpula","2021","10","3","11:00","12","12.1","11.8","78","7.7"
"Helsinki Kumpula","2021","10","3","12:00","12.6","13","12.2","77","7"
"Helsinki Kumpula","2021","10","3","13:00","12.9","13.1","12.7","76","7.3"
"Helsinki Kumpula","2021","10","3","14:00","13","13.2","12.7","75","6.2"
"Helsinki Kumpula","2021","10","3","15:00","12.7","12.9","12.6","77","6.8"
"Helsinki Kumpula","2021","10","3","16:00","12.5","12.6","12.3","79","8"
"Helsinki Kumpula","2021","10","3","17:00","12.2","12.3","11.8","82","7.7"
"Helsinki Kumpula","2021","10","3","18:00","11.7","11.9","11.5","85","6.5"
"Helsinki Kumpula","2021","10","3","19:00","11.4","11.5","11.2","87","6.1"
"Helsinki Kumpula","2021","10","3","20:00","11.2","11.3","11","87","6.1"
"Helsinki Kumpula","2021","10","3","21:00","11","11.2","10.8","86","6.6"
"Helsinki Kumpula","2021","10","3","22:00","10.6","10.8","10.5","87","6.3"
"Helsinki Kumpula","2021","10","3","23:00","10.3","10.5","10","87","6.5"
"Helsinki Kumpula","2021","10","4","00:00","10","10.2","9.9","86","6.4"
"Helsinki Kumpula","2021","10","4","01:00","9.9","10.1","9.7","85","6.6"
"Helsinki Kumpula","2021","10","4","02:00","9.6","9.8","9.5","85","6.8"
"Helsinki Kumpula","2021","10","4","03:00","9.4","9.5","9.2","85","7.1"
"Helsinki Kumpula","2021","10","4","04:00","9.1","9.4","8.9","85","7.2"
"Helsinki Kumpula","2021","10","4","05:00","9","9.1","8.9","86","7.2"
"Helsinki Kumpula","2021","10","4","06:00","9.4","9.7","9.1","84","6.8"
"Helsinki Kumpula","2021","10","4","07:00","10","10.3","9.6","81","5.9"
"Helsinki Kumpula","2021","10","4","08:00","10.9","11.5","10.3","76","6"
"Helsinki Kumpula","2021","10","4","09:00","11.5","12","11","73","7"
"Helsinki Kumpula","2021","10","4","10:00","12","12.5","11.8","71","7.2"
"Helsinki Kumpula","2021","10","4","11:00","12.5","12.9","12.2","72","6.8"
"Helsinki Kumpula","2021","10","4","12:00","13.6","14.4","12.9","68","7"
"Helsinki Kumpula","2021","10","4","13:00","14.2","14.3","14","66","6.1"
"Helsinki Kumpula","2021","10","4","14:00","13.9","14","13.8","67","6.2"
"Helsinki Kumpula","2021","10","4","15:00","14","14.1","13.7","67","6.2"
"Helsinki Kumpula","2021","10","4","16:00","13.9","14","13.8","67","6.8"
"Helsinki Kumpula","2021","10","4","17:00","13.3","13.9","12.8","72","6.3"
"Helsinki Kumpula","2021","10","4","18:00","12.8","13","12.6","75","6.1"
"Helsinki Kumpula","2021","10","4","19:00","12.5","12.7","12.4","75","5.8"
"Helsinki Kumpula","2021","10","4","20:00","12.6","12.7","12.4","73","6.5"
"Helsinki Kumpula","2021","10","4","21:00","12.5","12.6","12.3","73","6.8"
"Helsinki Kumpula","2021","10","4","22:00","12.4","12.5","12.3","72","7"
"Helsinki Kumpula","2021","10","4","23:00","12.2","12.4","12.2","73","6.5"
"Helsinki Kumpula","2021","10","5","00:00","12.1","12.2","11.9","73","6.4"
"Helsinki Kumpula","2021","10","5","01:00","11.8","11.9","11.6","75","6.3"
"Helsinki Kumpula","2021","10","5","02:00","11.6","11.7","11.4","76","6"
"Helsinki Kumpula","2021","10","5","03:00","11.6","11.7","11.5","77","5.6"
"Helsinki Kumpula","2021","10","5","04:00","11.5","11.6","11.4","76","5.9"
"Helsinki Kumpula","2021","10","5","05:00","11.4","11.5","11.4","78","6"
"Helsinki Kumpula","2021","10","5","06:00","11.3","11.4","11.2","78","5.5"
"Helsinki Kumpula","2021","10","5","07:00","11.2","11.3","11.1","79","5.7"
"Helsinki Kumpula","2021","10","5","08:00","10.8","11.2","10.3","83","4.9"
"Helsinki Kumpula","2021","10","5","09:00","10.2","10.4","10","90","5.1"
"Helsinki Kumpula","2021","10","5","10:00","10","10.1","9.9","92","5.2"
